driverId,name,ssn,location,certified,wage-plan,weeks_worked,total_hours,total_miles,average_hours,average_miles
10,George Vetticaden,621011971,244-4532 Nulla Rd.,N,miles,52,3232,147150,62.15,2829.81
11,Jamie Engesser,262112338,366-4125 Ac Street,N,miles,52,3642,179300,70.04,3448.08
12,Paul Coddin,198041975,Ap #622-957 Risus. Street,Y,hours,52,2639,135962,50.75,2614.65
13,Joe Niemiec,139907145,2071 Hendrerit. Ave,Y,hours,52,2727,134126,52.44,2579.35
14,Adis Cesir,820812209,Ap #810-1228 In St.,Y,hours,52,2781,136624,53.48,2627.38
15,Rohit Bakshi,239005227,648-5681 Dui- Rd.,Y,hours,52,2734,138750,52.58,2668.27
16,Tom McCuch,363303105,P.O. Box 313- 962 Parturient Rd.,Y,hours,52,2746,137205,52.81,2638.56
17,Eric Mizell,123808238,P.O. Box 579- 2191 Gravida. Street,Y,hours,52,2701,135992,51.94,2615.23
18,Grant Liu,171010151,Ap #928-3159 Vestibulum Av.,Y,hours,52,2654,137834,51.04,2650.65
19,Ajay Singh,160005158,592-9430 Nonummy Avenue,Y,hours,52,2738,137968,52.65,2653.23
20,Chris Harris,921812303,883-2691 Proin Avenue,Y,hours,52,2644,134564,50.85,2587.77
21,Jeff Markham,209408086,Ap #852-7966 Facilisis St.,Y,hours,52,2751,138719,52.9,2667.67
22,Nadeem Asghar,783204269,154-9147 Aliquam Ave,Y,hours,52,2733,137550,52.56,2645.19
23,Adam Diaz,928312208,P.O. Box 260- 6127 Vitae Road,Y,hours,52,2750,137980,52.88,2653.46
24,Don Hilborn,254412152,4361 Ac Road,Y,hours,52,2647,134461,50.9,2585.79
25,Jean-Philippe Playe,913310051,P.O. Box 812- 6238 Ac Rd.,Y,hours,52,2723,139180,52.37,2676.54
26,Michael Aube,124705141,P.O. Box 213- 8948 Nec Ave,Y,hours,52,2730,137530,52.5,2644.81
27,Mark Lochbihler,392603159,8355 Ipsum St.,Y,hours,52,2771,137922,53.29,2652.35
28,Olivier Renault,959908181,P.O. Box 243- 6509 Erat. Avenue,Y,hours,52,2723,137469,52.37,2643.63
29,Teddy Choi,185502192,P.O. Box 106- 7003 Amet Rd.,Y,hours,52,2760,138255,53.08,2658.75
30,Dan Rice,282307061,Ap #881-9267 Mollis Avenue,Y,hours,52,2773,137473,53.33,2643.71
31,Rommel Garcia,858912101,P.O. Box 945- 6015 Sociis St.,Y,hours,52,2704,137057,52.0,2635.71
32,Ryan Templeton,290304287,765-6599 Egestas. Av.,Y,hours,52,2736,137422,52.62,2642.73
33,Sridhara Sabbella,967409015,Ap #477-2507 Sagittis Avenue,Y,hours,52,2759,139285,53.06,2678.56
34,Frank Romano,391407216,Ap #753-6814 Quis Ave,Y,hours,52,2811,137728,54.06,2648.62
35,Emil Siemes,971401151,321-2976 Felis Rd.,Y,hours,52,2728,138727,52.46,2667.83
36,Andrew Grande,245303216,Ap #685-9598 Egestas Rd.,Y,hours,52,2795,138025,53.75,2654.33
37,Wes Floyd,190504074,P.O. Box 269- 9611 Nulla Street,Y,hours,52,2694,137223,51.81,2638.9
38,Scott Shaw,386411175,276 Lobortis Road,Y,hours,52,2760,137464,53.08,2643.54
39,David Kaiser,967706052,9185 At Street,Y,hours,52,2745,138788,52.79,2669.0
40,Nicolas Maillard,208510217,1027 Quis Rd.,Y,hours,52,2700,136931,51.92,2633.29
41,Greg Phillips,308103116,P.O. Box 847- 5961 Arcu. Road,Y,hours,52,2723,138407,52.37,2661.67
42,Randy Gelhausen,853302254,145-4200 In- Avenue,Y,hours,52,2697,136673,51.87,2628.33
43,Dave Patton,977706052,3028 A- St.,Y,hours,52,2750,136993,52.88,2634.48
